Year,League,Team,MarketValue_M_Euro,League_Avg_Attendance,League_Google_Interest,Team_Name
2015,Premier League,40,553.5,13855299.0,11.166666666666666,Manchester City
2015,Premier League,38,499.35,13855299.0,11.166666666666666,Arsenal
2015,Premier League,41,457.85,13855299.0,11.166666666666666,Chelsea FC
2015,Premier League,44,439.85,13855299.0,11.166666666666666,Liverpool FC
2015,Premier League,44,375.25,13855299.0,11.166666666666666,Liverpool FC
2015,Premier League,31,371.85,13855299.0,11.166666666666666,Tottenham Hotspur
2015,Premier League,39,249.85,13855299.0,11.166666666666666,Manchester United
2015,Premier League,35,225.5,13855299.0,11.166666666666666,Aston Villa
2015,Premier League,50,201.33,13855299.0,11.166666666666666,Newcastle United
2015,Premier League,42,198.0,13855299.0,11.166666666666666,Brighton & Hove Albion
2015,Premier League,35,161.1,13855299.0,11.166666666666666,Aston Villa
2015,Premier League,31,147.0,13855299.0,11.166666666666666,Tottenham Hotspur
2015,Premier League,36,145.8,13855299.0,11.166666666666666,Nottingham Forest
2015,Premier League,39,137.0,13855299.0,11.166666666666666,Manchester United
2015,Premier League,38,135.7,13855299.0,11.166666666666666,Arsenal
2015,Premier League,44,117.95,13855299.0,11.166666666666666,Liverpool FC
2015,Premier League,41,116.9,13855299.0,11.166666666666666,Chelsea FC
2015,Premier League,35,113.1,13855299.0,11.166666666666666,Aston Villa
2015,Premier League,42,111.25,13855299.0,11.166666666666666,Brighton & Hove Albion
2015,Premier League,49,99.9,13855299.0,11.166666666666666,West Ham United
2016,Premier League,49,686.7,13605946.0,14.666666666666666,West Ham United
2016,Premier League,35,576.5,13605946.0,14.666666666666666,Aston Villa
2016,Premier League,38,543.65,13605946.0,14.666666666666666,Arsenal
2016,Premier League,42,542.0,13605946.0,14.666666666666666,Brighton & Hove Albion
2016,Premier League,42,531.45,13605946.0,14.666666666666666,Brighton & Hove Albion
2016,Premier League,38,425.65,13605946.0,14.666666666666666,Arsenal
2016,Premier League,39,311.25,13605946.0,14.666666666666666,Manchester United
2016,Premier League,44,273.05,13605946.0,14.666666666666666,Liverpool FC
2016,Premier League,36,263.75,13605946.0,14.666666666666666,Nottingham Forest
2016,Premier League,45,228.43,13605946.0,14.666666666666666,Crystal Palace
2016,Premier League,31,218.65,13605946.0,14.666666666666666,Tottenham Hotspur
2016,Premier League,34,186.0,13605946.0,14.666666666666666,Wolverhampton Wanderers
2016,Premier League,46,175.65,13605946.0,14.666666666666666,Brentford FC
2016,Premier League,37,157.1,13605946.0,14.666666666666666,AFC Bournemouth
2016,Premier League,42,135.85,13605946.0,14.666666666666666,Brighton & Hove Albion
2016,Premier League,42,132.0,13605946.0,14.666666666666666,Brighton & Hove Albion
2016,Premier League,41,131.6,13605946.0,14.666666666666666,Chelsea FC
2016,Premier League,35,128.8,13605946.0,14.666666666666666,Aston Villa
2016,Premier League,30,123.2,13605946.0,14.666666666666666,Everton FC
2016,Premier League,36,107.18,13605946.0,14.666666666666666,Nottingham Forest
2017,Premier League,32,1010.0,14544093.0,14.083333333333334,Fulham FC
2017,Premier League,46,884.25,14544093.0,14.083333333333334,Brentford FC
2017,Premier League,35,857.5,14544093.0,14.083333333333334,Aston Villa
2017,Premier League,35,849.5,14544093.0,14.083333333333334,Aston Villa
2017,Premier League,34,829.6,14544093.0,14.083333333333334,Wolverhampton Wanderers
2017,Premier League,45,694.0,14544093.0,14.083333333333334,Crystal Palace
2017,Premier League,48,381.25,14544093.0,14.083333333333334,Burnley FC
2017,Premier League,34,304.25,14544093.0,14.083333333333334,Wolverhampton Wanderers
2017,Premier League,29,297.0,14544093.0,14.083333333333334,Sheffield United
2017,Premier League,42,268.1,14544093.0,14.083333333333334,Brighton & Hove Albion
2017,Premier League,41,220.73,14544093.0,14.083333333333334,Chelsea FC
2017,Premier League,37,208.28,14544093.0,14.083333333333334,AFC Bournemouth
2017,Premier League,37,196.0,14544093.0,14.083333333333334,AFC Bournemouth
2017,Premier League,35,192.45,14544093.0,14.083333333333334,Aston Villa
2017,Premier League,30,169.3,14544093.0,14.083333333333334,Everton FC
2017,Premier League,33,165.95,14544093.0,14.083333333333334,Luton Town
2017,Premier League,36,165.49,14544093.0,14.083333333333334,Nottingham Forest
2017,Premier League,39,148.2,14544093.0,14.083333333333334,Manchester United
2017,Premier League,35,144.5,14544093.0,14.083333333333334,Aston Villa
2017,Premier League,35,106.05,14544093.0,14.083333333333334,Aston Villa
2018,Premier League,47,1200.0,14511485.0,20.33333333333333,Team_47
2018,Premier League,39,1170.0,14511485.0,20.33333333333333,Manchester United
2018,Premier League,54,1170.0,14511485.0,20.33333333333333,Team_54
2018,Premier League,34,898.6,14511485.0,20.33333333333333,Wolverhampton Wanderers
2018,Premier League,36,797.6,14511485.0,20.33333333333333,Nottingham Forest
2018,Premier League,42,659.05,14511485.0,20.33333333333333,Brighton & Hove Albion
2018,Premier League,40,529.1,14511485.0,20.33333333333333,Manchester City
2018,Premier League,37,434.1,14511485.0,20.33333333333333,AFC Bournemouth
2018,Premier League,37,359.0,14511485.0,20.33333333333333,AFC Bournemouth
2018,Premier League,37,310.0,14511485.0,20.33333333333333,AFC Bournemouth
2018,Premier League,40,305.4,14511485.0,20.33333333333333,Manchester City
2018,Premier League,40,302.9,14511485.0,20.33333333333333,Manchester City
2018,Premier League,36,289.0,14511485.0,20.33333333333333,Nottingham Forest
2018,Premier League,33,254.25,14511485.0,20.33333333333333,Luton Town
2018,Premier League,37,244.65,14511485.0,20.33333333333333,AFC Bournemouth
2018,Premier League,39,239.1,14511485.0,20.33333333333333,Manchester United
2018,Premier League,33,197.25,14511485.0,20.33333333333333,Luton Town
2018,Premier League,41,194.35,14511485.0,20.33333333333333,Chelsea FC
2018,Premier League,33,137.45,14511485.0,20.33333333333333,Luton Town
2018,Premier League,35,113.0,14511485.0,20.33333333333333,Aston Villa
2019,Premier League,35,1050.0,11322736.0,33.75,Aston Villa
2019,Premier League,56,1000.0,11322736.0,33.75,Team_56
2019,Premier League,36,806.8,11322736.0,33.75,Nottingham Forest
2019,Premier League,36,705.85,11322736.0,33.75,Nottingham Forest
2019,Premier League,43,670.45,11322736.0,33.75,Team_43
2019,Premier League,38,607.65,11322736.0,33.75,Arsenal
2019,Premier League,35,420.55,11322736.0,33.75,Aston Villa
2019,Premier League,32,411.1,11322736.0,33.75,Fulham FC
2019,Premier League,44,320.33,11322736.0,33.75,Liverpool FC
2019,Premier League,38,303.6,11322736.0,33.75,Arsenal
2019,Premier League,39,272.18,11322736.0,33.75,Manchester United
2019,Premier League,41,252.48,11322736.0,33.75,Chelsea FC
2019,Premier League,38,231.7,11322736.0,33.75,Arsenal
2019,Premier League,36,210.75,11322736.0,33.75,Nottingham Forest
2019,Premier League,45,200.78,11322736.0,33.75,Crystal Palace
2019,Premier League,43,199.6,11322736.0,33.75,Team_43
2019,Premier League,33,189.33,11322736.0,33.75,Luton Town
2019,Premier League,35,163.88,11322736.0,33.75,Aston Villa
2019,Premier League,38,145.33,11322736.0,33.75,Arsenal
2019,Premier League,34,138.6,11322736.0,33.75,Wolverhampton Wanderers
2020,Premier League,36,1040.0,13169590.0,28.75,Nottingham Forest
2020,Premier League,43,969.65,13169590.0,28.75,Team_43
2020,Premier League,39,889.2,13169590.0,28.75,Manchester United
2020,Premier League,39,770.05,13169590.0,28.75,Manchester United
2020,Premier League,41,703.5,13169590.0,28.75,Chelsea FC
2020,Premier League,42,619.25,13169590.0,28.75,Brighton & Hove Albion
2020,Premier League,44,511.2,13169590.0,28.75,Liverpool FC
2020,Premier League,40,510.6,13169590.0,28.75,Manchester City
2020,Premier League,38,450.3,13169590.0,28.75,Arsenal
2020,Premier League,53,430.7,13169590.0,28.75,Team_53
2020,Premier League,40,336.4,13169590.0,28.75,Manchester City
2020,Premier League,46,290.4,13169590.0,28.75,Brentford FC
2020,Premier League,39,282.8,13169590.0,28.75,Manchester United
2020,Premier League,33,255.35,13169590.0,28.75,Luton Town
2020,Premier League,38,239.75,13169590.0,28.75,Arsenal
2020,Premier League,39,238.1,13169590.0,28.75,Manchester United
2020,Premier League,36,193.85,13169590.0,28.75,Nottingham Forest
2020,Premier League,40,149.85,13169590.0,28.75,Manchester City
2020,Premier League,43,141.15,13169590.0,28.75,Team_43
2020,Premier League,32,132.3,13169590.0,28.75,Fulham FC
2021,Premier League,39,1000.0,15016444.0,36.16666666666666,Manchester United
2021,Premier League,49,918.9,15016444.0,36.16666666666666,West Ham United
2021,Premier League,44,914.5,15016444.0,36.16666666666666,Liverpool FC
2021,Premier League,43,769.15,15016444.0,36.16666666666666,Team_43
2021,Premier League,45,689.35,15016444.0,36.16666666666666,Crystal Palace
2021,Premier League,41,613.05,15016444.0,36.16666666666666,Chelsea FC
2021,Premier League,40,526.55,15016444.0,36.16666666666666,Manchester City
2021,Premier League,44,487.75,15016444.0,36.16666666666666,Liverpool FC
2021,Premier League,42,479.05,15016444.0,36.16666666666666,Brighton & Hove Albion
2021,Premier League,38,376.95,15016444.0,36.16666666666666,Arsenal
2021,Premier League,37,354.9,15016444.0,36.16666666666666,AFC Bournemouth
2021,Premier League,43,318.0,15016444.0,36.16666666666666,Team_43
2021,Premier League,34,313.9,15016444.0,36.16666666666666,Wolverhampton Wanderers
2021,Premier League,35,299.45,15016444.0,36.16666666666666,Aston Villa
2021,Premier League,33,274.3,15016444.0,36.16666666666666,Luton Town
2021,Premier League,38,273.3,15016444.0,36.16666666666666,Arsenal
2021,Premier League,33,271.05,15016444.0,36.16666666666666,Luton Town
2021,Premier League,45,163.2,15016444.0,36.16666666666666,Crystal Palace
2021,Premier League,47,156.2,15016444.0,36.16666666666666,Team_47
2021,Premier League,35,137.85,15016444.0,36.16666666666666,Aston Villa
2022,Premier League,34,1150.0,15289751.0,49.083333333333336,Wolverhampton Wanderers
2022,Premier League,42,1000.0,15289751.0,49.083333333333336,Brighton & Hove Albion
2022,Premier League,43,994.95,15289751.0,49.083333333333336,Team_43
2022,Premier League,48,847.75,15289751.0,49.083333333333336,Burnley FC
2022,Premier League,39,811.85,15289751.0,49.083333333333336,Manchester United
2022,Premier League,34,649.1,15289751.0,49.083333333333336,Wolverhampton Wanderers
2022,Premier League,38,541.6,15289751.0,49.083333333333336,Arsenal
2022,Premier League,42,529.8,15289751.0,49.083333333333336,Brighton & Hove Albion
2022,Premier League,43,509.55,15289751.0,49.083333333333336,Team_43
2022,Premier League,43,497.65,15289751.0,49.083333333333336,Team_43
2022,Premier League,38,490.7,15289751.0,49.083333333333336,Arsenal
2022,Premier League,44,465.6,15289751.0,49.083333333333336,Liverpool FC
2022,Premier League,46,419.95,15289751.0,49.083333333333336,Brentford FC
2022,Premier League,40,413.15,15289751.0,49.083333333333336,Manchester City
2022,Premier League,50,376.25,15289751.0,49.083333333333336,Newcastle United
2022,Premier League,36,371.2,15289751.0,49.083333333333336,Nottingham Forest
2022,Premier League,47,345.15,15289751.0,49.083333333333336,Team_47
2022,Premier League,39,323.05,15289751.0,49.083333333333336,Manchester United
2022,Premier League,47,295.1,15289751.0,49.083333333333336,Team_47
2022,Premier League,47,287.2,15289751.0,49.083333333333336,Team_47
2023,Premier League,36,1460.0,14651758.0,50.083333333333336,Nottingham Forest
2023,Premier League,40,1200.0,14651758.0,50.083333333333336,Manchester City
2023,Premier League,56,1010.0,14651758.0,50.083333333333336,Team_56
2023,Premier League,45,955.65,14651758.0,50.083333333333336,Crystal Palace
2023,Premier League,41,838.5,14651758.0,50.083333333333336,Chelsea FC
2023,Premier League,46,808.35,14651758.0,50.083333333333336,Brentford FC
2023,Premier League,45,709.65,14651758.0,50.083333333333336,Crystal Palace
2023,Premier League,45,652.25,14651758.0,50.083333333333336,Crystal Palace
2023,Premier League,49,524.4,14651758.0,50.083333333333336,West Ham United
2023,Premier League,46,501.35,14651758.0,50.083333333333336,Brentford FC
2023,Premier League,36,487.5,14651758.0,50.083333333333336,Nottingham Forest
2023,Premier League,40,446.58,14651758.0,50.083333333333336,Manchester City
2023,Premier League,47,442.73,14651758.0,50.083333333333336,Team_47
2023,Premier League,42,428.78,14651758.0,50.083333333333336,Brighton & Hove Albion
2023,Premier League,42,401.75,14651758.0,50.083333333333336,Brighton & Hove Albion
2023,Premier League,34,391.75,14651758.0,50.083333333333336,Wolverhampton Wanderers
2023,Premier League,35,384.35,14651758.0,50.083333333333336,Aston Villa
2023,Premier League,39,273.48,14651758.0,50.083333333333336,Manchester United
2023,Premier League,45,152.35,14651758.0,50.083333333333336,Crystal Palace
2023,Premier League,46,140.9,14651758.0,50.083333333333336,Brentford FC
2024,Premier League,44,1360.0,15380351.0,44.16666666666666,Liverpool FC
2024,Premier League,58,1190.0,15380351.0,44.16666666666666,Team_58
2024,Premier League,42,1160.0,15380351.0,44.16666666666666,Brighton & Hove Albion
2024,Premier League,35,950.95,15380351.0,44.16666666666666,Aston Villa
2024,Premier League,49,825.0,15380351.0,44.16666666666666,West Ham United
2024,Premier League,41,777.3,15380351.0,44.16666666666666,Chelsea FC
2024,Premier League,41,680.55,15380351.0,44.16666666666666,Chelsea FC
2024,Premier League,36,677.53,15380351.0,44.16666666666666,Nottingham Forest
2024,Premier League,49,667.58,15380351.0,44.16666666666666,West Ham United
2024,Premier League,40,526.85,15380351.0,44.16666666666666,Manchester City
2024,Premier League,39,518.6,15380351.0,44.16666666666666,Manchester United
2024,Premier League,33,481.3,15380351.0,44.16666666666666,Luton Town
2024,Premier League,44,433.05,15380351.0,44.16666666666666,Liverpool FC
2024,Premier League,38,427.85,15380351.0,44.16666666666666,Arsenal
2024,Premier League,29,400.7,15380351.0,44.16666666666666,Sheffield United
2024,Premier League,39,363.23,15380351.0,44.16666666666666,Manchester United
2024,Premier League,28,362.35,15380351.0,44.16666666666666,Team_28
2024,Premier League,42,310.05,15380351.0,44.16666666666666,Brighton & Hove Albion
2024,Premier League,35,270.1,15380351.0,44.16666666666666,Aston Villa
2024,Premier League,40,253.35,15380351.0,44.16666666666666,Manchester City
2015,LaLiga,32,726.0,10629966.0,13.083333333333334,Real Madrid
2015,LaLiga,30,714.3,10629966.0,13.083333333333334,FC Barcelona
2015,LaLiga,30,418.5,10629966.0,13.083333333333334,FC Barcelona
2015,LaLiga,38,254.0,10629966.0,13.083333333333334,Real Sociedad
2015,LaLiga,38,230.3,10629966.0,13.083333333333334,Real Sociedad
2015,LaLiga,28,148.0,10629966.0,13.083333333333334,Atlético Madrid
2015,LaLiga,28,140.6,10629966.0,13.083333333333334,Atlético Madrid
2015,LaLiga,32,119.4,10629966.0,13.083333333333334,Real Madrid
2015,LaLiga,28,91.1,10629966.0,13.083333333333334,Atlético Madrid
2015,LaLiga,33,77.95,10629966.0,13.083333333333334,Girona FC
2015,LaLiga,33,71.5,10629966.0,13.083333333333334,Girona FC
2015,LaLiga,33,62.2,10629966.0,13.083333333333334,Girona FC
2015,LaLiga,30,61.75,10629966.0,13.083333333333334,FC Barcelona
2015,LaLiga,35,56.6,10629966.0,13.083333333333334,Athletic Bilbao
2015,LaLiga,33,56.4,10629966.0,13.083333333333334,Girona FC
2015,LaLiga,29,53.2,10629966.0,13.083333333333334,Villarreal CF
2015,LaLiga,31,53.1,10629966.0,13.083333333333334,Valencia CF
2015,LaLiga,35,49.6,10629966.0,13.083333333333334,Athletic Bilbao
2015,LaLiga,30,49.1,10629966.0,13.083333333333334,FC Barcelona
2015,LaLiga,33,32.2,10629966.0,13.083333333333334,Girona FC
2016,LaLiga,29,802.9,10709466.0,9.916666666666666,Villarreal CF
2016,LaLiga,33,765.3,10709466.0,9.916666666666666,Girona FC
2016,LaLiga,38,515.8,10709466.0,9.916666666666666,Real Sociedad
2016,LaLiga,38,270.1,10709466.0,9.916666666666666,Real Sociedad
2016,LaLiga,38,257.5,10709466.0,9.916666666666666,Real Sociedad
2016,LaLiga,34,190.7,10709466.0,9.916666666666666,Sevilla FC
2016,LaLiga,30,172.6,10709466.0,9.916666666666666,FC Barcelona
2016,LaLiga,30,156.45,10709466.0,9.916666666666666,FC Barcelona
2016,LaLiga,29,122.4,10709466.0,9.916666666666666,Villarreal CF
2016,LaLiga,37,94.0,10709466.0,9.916666666666666,Real Betis
2016,LaLiga,30,85.4,10709466.0,9.916666666666666,FC Barcelona
2016,LaLiga,32,84.3,10709466.0,9.916666666666666,Real Madrid
2016,LaLiga,33,84.3,10709466.0,9.916666666666666,Girona FC
2016,LaLiga,28,84.2,10709466.0,9.916666666666666,Atlético Madrid
2016,LaLiga,29,80.8,10709466.0,9.916666666666666,Villarreal CF
2016,LaLiga,28,67.95,10709466.0,9.916666666666666,Atlético Madrid
2016,LaLiga,40,66.45,10709466.0,9.916666666666666,Celta Vigo
2016,LaLiga,37,53.15,10709466.0,9.916666666666666,Real Betis
2016,LaLiga,31,46.75,10709466.0,9.916666666666666,Valencia CF
2016,LaLiga,37,42.9,10709466.0,9.916666666666666,Real Betis
2017,LaLiga,32,1090.0,10342948.0,11.5,Real Madrid
2017,LaLiga,32,955.35,10342948.0,11.5,Real Madrid
2017,LaLiga,36,711.15,10342948.0,11.5,Granada CF
2017,LaLiga,30,398.05,10342948.0,11.5,FC Barcelona
2017,LaLiga,33,253.2,10342948.0,11.5,Girona FC
2017,LaLiga,33,249.4,10342948.0,11.5,Girona FC
2017,LaLiga,29,232.95,10342948.0,11.5,Villarreal CF
2017,LaLiga,40,220.0,10342948.0,11.5,Celta Vigo
2017,LaLiga,32,173.05,10342948.0,11.5,Real Madrid
2017,LaLiga,31,132.25,10342948.0,11.5,Valencia CF
2017,LaLiga,29,97.8,10342948.0,11.5,Villarreal CF
2017,LaLiga,38,91.25,10342948.0,11.5,Real Sociedad
2017,LaLiga,30,81.75,10342948.0,11.5,FC Barcelona
2017,LaLiga,33,74.8,10342948.0,11.5,Girona FC
2017,LaLiga,36,66.45,10342948.0,11.5,Granada CF
2017,LaLiga,36,65.6,10342948.0,11.5,Granada CF
2017,LaLiga,37,61.85,10342948.0,11.5,Real Betis
2017,LaLiga,33,60.05,10342948.0,11.5,Girona FC
2017,LaLiga,34,58.55,10342948.0,11.5,Sevilla FC
2017,LaLiga,40,55.2,10342948.0,11.5,Celta Vigo
2018,LaLiga,39,1160.0,10295016.0,17.5,Getafe CF
2018,LaLiga,37,969.7,10295016.0,17.5,Real Betis
2018,LaLiga,36,896.1,10295016.0,17.5,Granada CF
2018,LaLiga,33,499.65,10295016.0,17.5,Girona FC
2018,LaLiga,38,306.3,10295016.0,17.5,Real Sociedad
2018,LaLiga,33,300.95,10295016.0,17.5,Girona FC
2018,LaLiga,34,290.75,10295016.0,17.5,Sevilla FC
2018,LaLiga,32,234.25,10295016.0,17.5,Real Madrid
2018,LaLiga,30,234.1,10295016.0,17.5,FC Barcelona
